,序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
0,1,300798,锦鸡股份,10.0,11.66,2202620,487154800.0,4870952687.04,0.4521397650241852,41671627360,092503,092503,0,5/5,5,化工行业
1,2,300803,指南针,10.02849006652832,19.31,5800839,1098739000.0,7820549999.999999,0.5279542803764343,234587419140,092503,092503,0,9/9,9,软件服务
2,3,300805,电声股份,9.990706443786621,23.67,7159867,1001951100.0000001,10017854100.0,0.7145925164222717,153770095710,092503,092503,0,6/6,6,文化传媒
3,4,300806,斯迪克,9.979633331298828,21.6,1225778,630936000.0,2523719786.4,0.19427935779094696,66449181600,092503,092503,0,4/4,4,材料行业
4,5,603390,通达电气,10.02849006652832,19.31,47214205,1697769958.0,6791075815.5199995,2.780954122543335,153337523850,092505,092505,0,4/4,4,专用设备
5,6,002437,誉衡药业,10.034602165222168,3.18,148933955,6915818459.22,6990030961.92,2.1538445949554443,42403074000,093000,093000,0,1/1,1,医药制造
6,7,600243,青海华鼎,10.0,4.73,31837990,2075760500.0000002,2075760500.0000002,1.5375597476959229,38581664000,093001,093001,0,2/2,2,机械行业
7,8,603969,银龙股份,10.1010103225708,4.36,57826135,3666760000.0000005,3666760000.0000005,1.587511658668518,24635992520,093122,093122,0,1/1,1,金属制品
8,9,603988,中电电机,10.011507987976074,9.56,29276665,2248512000.0,2248512000.0,1.3094744682312012,15755912480,093230,093230,0,1/1,1,机械行业
9,10,000505,京粮控股,9.941520690917969,5.64,117382214,2657019825.8399997,3867857675.52,4.456191539764404,11783127480,093533,095518,2,1/1,1,农牧饲渔
10,11,603421,鼎信通讯,10.032362937927246,17.0,235085179,7893311905.0,7977179824.0,3.0063021183013916,8175300000,093734,141730,11,1/1,1,通讯行业
11,12,300176,派生科技,10.01220989227295,9.01,102967815,3313841671.68,3489400008.0,3.180310010910034,30870422400,094057,094057,0,1/1,1,汽车行业
12,13,600212,江泉实业,10.0,4.51,86046676,2307754430.63,2307754444.16,3.8254177570343018,52628380640,094400,094400,0,4/2,1,综合行业
13,14,600359,新农开发,10.074626922607422,5.9,214984678,2250925638.0,2250925614.4,9.868130683898926,19517542200,094542,094542,0,2/2,2,农牧饲渔
14,15,000782,美达股份,10.030394554138184,3.62,64821528,1615667431.4,1911865409.92,4.03450345993042,15607304200,094733,102054,1,1/1,1,化纤行业
15,16,002524,光正集团,10.035842895507812,12.28,853217472,5946309954.599999,6333159291.5199995,14.598159790039062,40831000000,095254,142503,6,1/1,1,公用事业
16,17,000159,国际实业,9.981851577758789,6.06,94210753,2912957117.58,2912957160.0,3.2954301834106445,33517853940,095300,095300,0,1/1,1,石油行业
17,18,002351,漫步者,9.978616714477539,15.43,959625344,4495394716.0,9146364073.44,21.802900314331055,45045138460,095433,102742,2,1/1,1,电子信息
18,19,300801,N泰和,43.98421859741211,43.8,10983078,1314000000.0,5256000000.0,0.8388500213623047,126032091000,100003,100003,0,1/1,1,化工行业
19,20,002442,龙星化工,9.925558090209961,4.43,53355841,2124416467.4999998,2126399999.9999998,2.5767786502838135,31425091000,100148,100148,0,1/1,1,化工行业
20,21,603477,振静股份,9.982332229614258,12.45,354216592,1413075000.0,2988000000.0,25.965818405151367,20379405000,103115,145422,1,1/1,1,纺织服装
21,22,002773,康弘药业,9.997014999389648,36.86,250480301,22899656722.16,32274530484.8,1.1393556594848633,87217468520,105942,105942,0,1/1,1,医药制造
22,23,300277,海联讯,10.021322250366211,10.32,277186480,3450911250.0,3457200000.0,8.303431510925293,23568816000,112618,145448,1,2/2,2,软件服务
23,24,000673,当代东方,10.047846794128418,4.6,442564096,3631747646.7999997,3641132060.7999997,12.713254928588867,25114620000,133118,135012,3,1/1,1,文化传媒
24,25,600302,标准股份,10.117647171020508,4.68,39744495,1619325882.7199998,1619325901.4399998,2.553360939025879,19615752000,135123,135123,0,1/1,1,专用设备
25,26,300793,佳禾智能,9.994539260864258,60.42,1127769392,2518305600.0,10070805600.0,46.58547592163086,84003799020,144148,144242,1,1/1,1,电子元件
0,1,002623,亚玛顿,10.023309707641602,14.16,49458317,2259562530.0,2265600000.0,2.188847303390503,6044904000,092503,130048,1,1/1,1,玻璃陶瓷
1,2,002685,华东重机,9.967320442199707,6.73,151802499,5186720999.71,6781758007.200001,2.926752805709839,14470899840,092503,092503,0,1/1,1,机械行业
2,3,002907,华森制药,9.978918075561523,15.65,28894892,969681058.15,6284198155.2,2.97983455657959,48020162650,092503,092503,0,1/1,1,医药制造
3,4,300798,锦鸡股份,10.034305572509766,12.83,5551233,536037400.0,5359718951.52,1.035605549812317,38965017920,092503,092503,0,6/6,6,化工行业
4,5,300801,泰和科技,10.0,48.18,7830647,1445400000.0,5781600000.0,0.5417633056640625,71726336880,092503,092503,0,2/2,2,化工行业
5,6,300803,指南针,9.994821548461914,21.24,13026598,1208556000.0,8602200000.0,1.077864646911621,284384377800,092503,092503,0,10/10,10,软件服务
6,7,300805,电声股份,10.012674331665039,26.04,7580686,1102273200.0,11020909200.0,0.6877321004867554,108266065320,092503,092503,0,7/7,7,文化传媒
7,8,300806,斯迪克,10.0,23.76,4767253,694029600.0,2776091765.04,0.6868948936462402,76213954080,092503,092503,0,5/5,5,材料行业
8,9,603025,大豪科技,10.06289291381836,8.75,67410490,8013921772.5,8103827480.0,0.8412543535232544,27974362500,093002,093002,0,1/1,1,专用设备
9,10,002442,龙星化工,9.932279586791992,4.87,153331298,2335419457.5,2337600000.0,6.615072727203369,24444965000,093003,095312,1,2/2,2,化工行业
10,11,300455,康拓红外,10.038609504699707,8.55,35415468,4278694241.2500005,5435406547.200001,0.8277370929718018,20103939900,093003,093003,0,1/1,1,电子信息
11,12,600243,青海华鼎,9.936574935913086,5.2,243498887,2282020000.0,2282020000.0,10.900262832641602,25203094800,093126,141158,4,3/3,3,机械行业
12,13,600381,青海春天,9.941520690917969,5.64,45696609,3311022579.24,3311022551.04,1.3870488405227661,18155549160,093227,093227,0,1/1,1,食品饮料
13,14,300269,联建光电,10.129870414733887,4.24,63105658,1726516174.64,2508332373.76,3.700713634490967,22750979280,093651,093651,0,1/1,1,电子元件
14,15,603390,通达电气,9.994821548461914,21.24,891635104,1867459031.9999998,7469831710.08,49.290897369384766,88086676680,094007,094007,0,5/5,5,专用设备
15,16,300046,台基股份,9.968847274780273,14.12,388278672,3009254400.0,3009254400.0,13.052690505981445,17174862000,094836,145027,3,1/1,1,电子元件
16,17,300808,N久量,44.0217399597168,15.9,5161874,636000000.0,2544000000.0,0.8433899879455566,97766619600,100003,100003,0,1/1,1,电子元件
17,18,300795,米奥兰特,10.007147789001465,30.78,183808485,770761980.0,3083047920.0,24.712440490722656,80512446420,105333,105333,0,1/1,1,文化传媒
18,19,603687,大胜达,9.977827072143555,14.88,161356014,744000000.0,6113161351.68,22.237810134887695,18749782080,105540,111722,1,1/1,1,包装材料
19,20,000782,美达股份,9.944750785827637,3.98,164201374,1776341540.6,2101995671.68,9.61276626586914,20361596420,135424,135424,0,2/2,2,化纤行业
20,21,002091,江苏国泰,10.0,6.05,212095718,5883034072.3,9459396381.6,3.7339487075805664,32577912950,140854,140854,0,1/1,1,国际贸易
21,22,300694,蠡湖股份,9.98389720916748,13.66,85677419,1832069460.42,2941229905.82,4.86419677734375,56863219640,141445,141445,0,1/1,1,汽车行业
22,23,300325,德威新材,10.06289291381836,3.5,168232619,3487515587.5,3520100808.0,5.081654071807861,30318470000,141651,141651,0,1/1,1,材料行业
23,24,300643,万通智控,10.03752326965332,11.73,177656062,982210857.9300001,2346000000.0,18.847549438476562,19023714000,142203,142203,0,1/1,1,汽车行业
24,25,300221,银禧科技,10.017574310302734,6.26,339808208,2571104990.22,2831500463.68,14.130377769470215,66694058780,142706,142706,0,7/4,1,塑胶制品
25,26,300507,苏奥传感,10.009016990661621,12.2,145862841,1590566203.8,2686169160.0,9.664220809936523,8199620000,142942,142942,0,1/1,1,汽车行业
26,27,000835,长城动漫,10.022271156311035,4.94,275609536,1496301300.0,1614196217.92,19.401838302612305,10911150900,143051,143051,0,9/6,1,文化传媒
27,28,603229,奥翔药业,10.0,20.13,112473770,1086617400.0,3220800000.0,10.709752082824707,1435269000,145127,145127,0,1/1,1,医药制造
0,1,002969,N嘉美,43.86920928955078,5.28,4712436,502989168.0,5029890286.08,0.9401258230209351,109946612160,092503,092503,0,1/1,1,包装材料
1,2,300249,依米康,10.016695022583008,6.59,27929098,2012999522.5,2882928565.2799997,1.3874369859695435,69746583000,092503,092503,0,1/1,1,软件服务
2,3,300370,安控科技,10.130719184875488,3.37,67503347,2434629775.9,3225583206.2400002,2.7726330757141113,44271127210,092503,092503,0,1/1,1,仪器仪表
3,4,300798,锦鸡股份,9.976616859436035,14.11,4771945,589515800.0,5894437599.84,0.8094686269760132,57035498440,092503,092503,0,7/7,7,化工行业
4,5,300803,指南针,9.98116683959961,23.36,6189161,1329184000.0,9460800000.0,0.4656361937522888,270928182080,092503,092503,0,11/11,11,软件服务
5,6,300805,电声股份,9.984639167785645,28.64,179437246,1212331200.0,12121307200.0,14.801009178161621,55105737120,092503,092503,0,8/8,8,文化传媒
6,7,300806,斯迪克,10.016834259033203,26.14,1672698,763549400.0,3054168297.06,0.21906881034374237,287399105400,092503,092503,0,6/6,6,材料行业
7,8,300808,久量股份,10.0,17.49,1503370,699599999.9999999,2798399999.9999995,0.2148900032043457,66791581560,092503,092503,0,2/2,2,电子元件
8,9,600468,百利电气,10.122699737548828,3.59,46080688,4027603186.42,4027603193.6,1.144173502922058,18521876230,092504,094618,1,1/1,1,输配电气
9,10,002652,扬子新材,9.89011001586914,4.0,25223226,1788545940.0,2048256000.0,1.4195746183395386,22312256000,093045,093045,0,1/1,1,金属制品
10,11,002907,华森制药,10.031949043273926,17.22,129129025,1066958966.2199999,6914625701.759999,12.260099411010742,31233739320,093130,093251,1,2/2,2,医药制造
11,12,002442,龙星化工,10.061601638793945,5.36,465038288,2570400060.0,2572800000.0,18.535293579101562,9893916800,093242,141336,18,3/3,3,化工行业
