,Unnamed: 0,序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
1501,2,3.0,2564,天沃科技,10.024450302124023,4.5,23500800.0,3908147418.0,3912188760.0,0.6013283729553223,71184150.0,92500,92500,0.0,1/1,1.0,专业服务,20220214
1690,50,51.0,2564,天沃科技,10.10988998413086,5.01,377970416.0,4351070792.04,4355570152.8,9.161576271057127,31423722.0,105736,110627,3.0,3/2,1.0,专业服务,20220216
6711,24,25.0,2564,天沃科技,10.126582145690918,4.35,55314659.0,3777875837.4,3781782468.0,1.4887324571609497,69264615.0,93339,93339,0.0,1/1,1.0,专业服务,20220530
6785,2,3.0,2564,天沃科技,10.11494255065918,4.79,36476927.0,4160005807.16,4164307591.2,0.8768479824066162,81384375.0,92500,92500,0.0,2/2,2.0,专业服务,20220531
7145,14,15.0,2564,天沃科技,10.065646171569824,5.03,133392183.0,4368440336.12,4372957658.400001,3.1242947578430176,49629501.0,93212,93212,0.0,6/3,1.0,专业服务,20220607
10001,25,26.0,2564,天沃科技,10.1010103225708,5.45,214142146.0,4733200761.8,4738095276.0,4.662135124206543,91157871.0,94009,94009,0.0,1/1,1.0,专业服务,20220801
10062,2,3.0,2564,天沃科技,10.091742515563965,6.0,145272000.0,5210863224.0,5216251680.0,2.7878682613372803,134575800.0,92500,92500,0.0,2/2,2.0,专业服务,20220802
10125,18,19.0,2564,天沃科技,10.0,6.6,1185366768.0,5731949546.4,5737876848.0,21.68778419494629,79001340.0,94839,143639,4.0,3/3,3.0,专业服务,20220803
10172,26,27.0,2564,天沃科技,10.0,7.26,1197985712.0,6305144501.04,6311664532.8,19.78292465209961,132354156.0,95345,95345,0.0,4/4,4.0,专业服务,20220804
10849,53,54.0,2564,天沃科技,10.088496208190918,6.22,732573200.0,5401928208.88,5407514241.599999,14.32847785949707,85218895.0,131712,131712,0.0,1/1,1.0,专业服务,20220817
363,23,24.0,2878,元隆雅图,9.986194610595703,23.9,336485008.0,4466328680.3,5291797157.299999,7.679337501525879,68605667.0,94230,94230,0.0,1/1,1.0,专业服务,20220111
402,4,5.0,2878,元隆雅图,10.0,26.29,434718176.0,4912961548.33,5820976873.03,8.942938804626465,124352173.0,92500,93354,1.0,2/2,2.0,专业服务,20220112
1140,3,4.0,2878,元隆雅图,10.010823249816896,20.33,14870520.0,3799182513.41,4501348795.309999,0.3914136886596679,338432351.0,92500,92500,0.0,1/1,1.0,专业服务,20220207
1227,4,5.0,2878,元隆雅图,9.985243797302246,22.36,13347444.0,4178540137.72,4950819432.52,0.319428414106369,368105211.0,92500,92500,0.0,2/2,2.0,专业服务,20220208
1302,5,6.0,2878,元隆雅图,10.017889022827148,24.6,22294242.0,4597141654.2,5446787032.200001,0.4849587678909302,338267958.0,92500,92500,0.0,3/3,3.0,专业服务,20220209
1398,5,6.0,2878,元隆雅图,10.0,27.06,24027927.0,5056855819.62,5991465735.42,0.4751554727554321,323877081.0,92500,92500,0.0,4/4,4.0,专业服务,20220210
1454,6,7.0,2878,元隆雅图,10.014781951904297,29.77,422982608.0,5563288904.29,6591497965.39,7.603103637695312,258530092.0,92500,92500,0.0,5/5,5.0,专业服务,20220211
1517,18,19.0,2878,元隆雅图,10.010077476501465,32.75,1443083376.0,6120178421.75,7251312004.25,23.92062759399414,36957883.0,93242,131503,5.0,6/6,6.0,专业服务,20220214
2425,40,41.0,2878,元隆雅图,9.981684684753418,24.02,430513856.0,4530081852.94,5360141473.34,9.948664665222168,122930540.0,131721,131721,0.0,1/1,1.0,专业服务,20220304
6508,78,79.0,2878,元隆雅图,10.02915382385254,18.87,160035216.0,3559142802.27,4211233769.67,4.681850910186768,15422451.0,132048,144857,1.0,1/1,1.0,专业服务,20220525
8584,44,45.0,2878,元隆雅图,10.0,21.23,357074048.0,4004271419.83,4737916954.43,9.238444328308104,120007564.0,104527,104527,0.0,1/1,1.0,专业服务,20220701
8861,6,7.0,2967,广电计量,10.01651096343994,19.99,71168477.0,4710339472.089999,11498764541.599998,1.5108991861343384,119262259.0,92500,92500,0.0,1/1,1.0,专业服务,20220708
10713,68,69.0,3008,开普检测,9.984338760375977,28.09,91570269.0,973181842.15,2247200000.0,9.685446739196776,67949710.0,143212,143706,2.0,1/1,1.0,专业服务,20220815
3037,36,37.0,3035,南网能源,10.061920166015623,7.11,214259984.0,11632390901.55,26931818154.24,1.8727973699569704,62972217.0,95657,95657,0.0,1/1,1.0,专业服务,20220318
10750,31,32.0,3035,南网能源,10.015649795532228,7.03,339455744.0,11501506053.15,26628787851.52,3.0156495571136475,90852458.0,95157,95157,0.0,1/1,1.0,专业服务,20220816
486,88,89.0,300572,安车检测,19.99089241027832,26.35,750107264.0,4642060290.85,6033855196.200001,17.618749618530273,26971728.0,142206,143424,1.0,1/1,1.0,专业服务,20220112
3724,18,19.0,300938,信测标准,19.995216369628903,50.17,207315312.0,1514442958.42,3348732109.0,13.933632850646973,12182831.0,93400,94036,1.0,1/1,1.0,专业服务,20220331
5900,26,27.0,301166,优宁维,19.99275016784668,66.2,289059296.0,1358026601.4,5737333421.6,21.53860664367676,23739320.0,93351,102518,5.0,1/1,1.0,专业服务,20220516
6351,60,61.0,301166,优宁维,20.003419876098636,70.19,356600752.0,1439877449.43,6083133426.92,25.887300491333008,61462645.0,101342,101342,0.0,1/1,1.0,专业服务,20220523
663,37,38.0,301169,零点有数,20.0,46.32,237503375.0,836536606.08,3346146331.68,29.719776153564453,91955205.0,94227,94227,0.0,1/1,1.0,专业服务,20220117
746,8,9.0,301169,零点有数,19.991365432739254,55.58,81176979.0,1003771687.52,4015086638.92,8.08719539642334,170544840.0,92503,92503,0.0,2/2,2.0,专业服务,20220118
802,21,22.0,301169,零点有数,20.007198333740234,66.7,856620976.0,1204598264.8,4818392925.8,73.79024505615234,22612834.0,93924,103315,7.0,3/3,3.0,专业服务,20220119
1777,20,21.0,301169,零点有数,19.992361068725582,62.84,717097568.0,1134886880.96,4539547398.16,65.48246002197266,23935756.0,93748,142315,3.0,1/1,1.0,专业服务,20220218
1702,62,63.0,301228,实朴检测,20.00609970092773,39.35,571288880.0,1022848002.6,4722000000.0,62.69210052490234,76629284.0,134357,134357,0.0,1/1,1.0,专业服务,20220216
1716,4,5.0,301228,实朴检测,20.0,47.22,349168432.0,1227417603.12,5666400000.0,28.492551803588867,101026198.0,92503,93030,1.0,2/2,2.0,专业服务,20220217
9510,69,70.0,301289,国缆检测,20.0,52.56,391037008.0,788400000.0,3153600000.0,53.6738395690918,51135308.0,132554,135024,1.0,1/1,1.0,专业服务,20220720
2999,96,97.0,603060,国检集团,10.0,15.95,85705577.0,9628696000.0,9628696000.0,0.9292622208595276,3757851.0,145019,145019,0.0,1/1,1.0,专业服务,20220317
733,107,108.0,603183,建研院,9.965636253356934,6.4,195374225.0,2571832089.6,2671163494.4,7.83419942855835,4633088.0,144806,150000,1.0,1/1,1.0,专业服务,20220117
820,39,40.0,603183,建研院,10.06289291381836,7.0,321851872.0,2812941348.0,2921585072.0,12.032522201538086,35512827.0,104451,104530,1.0,3/2,1.0,专业服务,20220119
1209,72,73.0,603183,建研院,9.98217487335205,6.17,196411356.0,2479406873.88,2575168556.32,8.09121036529541,6453079.0,132717,135911,7.0,1/1,1.0,专业服务,20220207
3027,26,27.0,603183,建研院,9.95106029510498,6.74,195786397.0,2708460669.36,2813069055.04,7.357246398925781,45336219.0,94105,94517,1.0,1/1,1.0,专业服务,20220318
3198,92,93.0,603183,建研院,9.94065284729004,7.41,678064864.0,2977699341.24,3092706483.36,23.71002769470215,34886680.0,110407,110407,0.0,2/2,2.0,专业服务,20220321
5410,66,67.0,603183,建研院,9.98116683959961,5.84,104995556.0,2346796781.76,2437436688.64,4.589946269989014,60722281.0,94457,94457,0.0,1/1,1.0,专业服务,20220509
5746,56,57.0,603183,建研院,10.0,7.04,713411456.0,2829015298.56,2938279843.84,25.86138153076172,2836247.0,112117,145403,9.0,4/2,1.0,专业服务,20220512
8585,45,46.0,519,中兵红箭,10.017152786254885,32.07,2598443952.0,44625076699.41,44659366360.32,5.929754257202148,35599560.0,104554,143336,9.0,1/1,1.0,专用设备,20220701
1875,66,67.0,584,哈工智能,10.018552780151367,5.93,152358410.0,4360300553.79,4512359873.12,3.605101585388184,66334160.0,104742,104742,0.0,1/1,1.0,专用设备,20220221
2738,36,37.0,584,哈工智能,9.983633041381836,6.72,402990192.0,5012978631.36,5113500564.48,8.395345687866211,14590464.0,132045,132045,0.0,1/1,1.0,专用设备,20220314
6920,46,47.0,584,哈工智能,10.043667793273926,5.04,68643661.0,3759733973.52,3835125423.36,1.875245213508606,50250140.0,95830,95830,0.0,1/1,1.0,专用设备,20220601
7028,73,74.0,584,哈工智能,9.920635223388672,5.54,313471328.0,4132723455.02,4215594215.36,7.853951454162598,15024480.0,135412,135412,0.0,2/2,2.0,专用设备,20220602
7274,17,18.0,584,哈工智能,10.058026313781738,5.69,344993072.0,4244620299.47,4329734852.96,8.352496147155762,5148624.0,94436,145409,3.0,6/3,1.0,专用设备,20220609
7344,44,45.0,584,哈工智能,10.017574310302734,6.26,340288128.0,4669828308.38,4763469275.84,7.705583572387695,36484219.0,102754,102754,0.0,7/4,2.0,专用设备,20220610
7397,1,2.0,584,哈工智能,10.063898086547852,6.89,460035808.0,5139795055.07,5242859953.76,9.012383460998535,64863024.0,92500,135942,1.0,8/5,3.0,专用设备,20220613
7707,42,43.0,584,哈工智能,9.98217487335205,6.17,332095808.0,4602690201.71,4694984893.28,7.546490669250488,25029839.0,105706,105706,0.0,12/6,1.0,专用设备,20220617
8474,18,19.0,584,哈工智能,9.94065284729004,7.41,320098208.0,5527704115.83,5638547497.440001,5.953865051269531,80842158.0,93924,93924,0.0,1/1,1.0,专用设备,20220630
8545,5,6.0,584,哈工智能,9.986504554748535,8.15,306529088.0,6079728548.45,6201641309.6,5.089156627655029,84687375.0,93012,93012,0.0,2/2,2.0,专用设备,20220701
8759,36,37.0,584,哈工智能,10.014103889465332,7.8,626094016.0,5818635911.4,5935313155.2,11.14810276031494,87444801.0,103312,103312,0.0,5/3,1.0,专用设备,20220706
10642,53,54.0,584,哈工智能,10.05290985107422,8.32,514715008.0,6206544972.16,6331000698.88,8.681825637817383,129618112.0,142242,142242,0.0,1/1,1.0,专用设备,20220812
5654,60,61.0,821,京山轻机,10.050251007080078,8.76,180437046.0,5174392698.48,5456383107.84,3.581491470336914,40939860.0,100509,100509,0.0,1/1,1.0,专用设备,20220511
7253,57,58.0,821,京山轻机,10.020039558410645,10.98,440731840.0,6485711396.04,6839165128.320001,7.1937174797058105,44546343.0,143924,143924,0.0,1/1,1.0,专用设备,20220608
7613,15,16.0,821,京山轻机,9.97352123260498,12.46,807290352.0,7359923861.080001,7761019808.64,11.093276977539062,86917521.0,93509,141051,2.0,1/1,1.0,专用设备,20220616
7679,14,15.0,821,京山轻机,10.032102584838867,13.71,822117264.0,8098278983.580001,8539613288.64,10.364330291748049,142999358.0,94030,94030,0.0,2/2,2.0,专用设备,20220617
